problem_ID,problem_set_ID,question,kind,filename,q_len
0,0,"In the following two problems, solve for the value of $x$.
  \begin{multicols}{2}
    \begin{enumerate}
      \item   $x-5=12$ \vspace{6cm}
      \item   $13-x=-3$ \vspace{6cm}
    \end{enumerate}
  \end{multicols}
    \vspace{3cm}

",question,1-1DN_Algebra.tex,233
1,0,"Given $g(x)=x^2-5x+15$. Simplify $g(0)$. \vspace{3cm}
",question,1-1DN_Algebra.tex,54
2,0,"Given $f(x)=3x-2$. Solve for $x$ such that for $f(x)=13$. \vspace{4cm}
",question,1-1DN_Algebra.tex,71
3,0,"Given $h(x)=x^2-x-12$. Solve $h(x)=0$. \vspace{5cm}
  

",question,1-1DN_Algebra.tex,56
4,0,"Simplify each expression. (Leave it in radical form if necessary, not a decimal.)
    \begin{enumerate}
      \begin{multicols}{2}
      \item   $\sqrt{25}$ \vspace{1.5cm}
      \item   $\sqrt{24}$ \vspace{1.5cm}
      \end{multicols}
    \end{enumerate}
    \vspace{0.5cm}

",question,1-1DN_Algebra.tex,275
5,0,"\newpage

",newpage,1-1DN_Algebra.tex,10
6,0,"The line $l$ has the equation $y=\frac{3}{2}x-1$. 
\begin{enumerate}
  \item Write down it's slope. $m=$
  \vspace{0.5cm}
  \item Write down it's $y$-intercept. $b=$
  \vspace{0.5cm}
  \item Is the point $(4, 4)$ on the line $l$? Justify your answer.
\end{enumerate}
\vspace{2.5cm}

",question,1-1DN_Algebra.tex,283
7,0,"On the grid below, graph the line $y=-\frac{1}{2}x+2$.
  \vspace{0.5cm}

    \begin{center} %4 quadrant regents grid w T-Chart
    \begin{tikzpicture}[scale=.635]
      \draw [help lines] (-10,-10) grid (10,10);
      \draw [thick, ->] (-10.2,0) -- (10.4,0) node [below right] {$x$};
      \draw [thick, ->] (0,-10.2)--(0,10.4) node [left] {$y$};
    \end{tikzpicture}
    \end{center}

",question,1-1DN_Algebra.tex,387
8,1,"$2x^2+13x -12 -2x^2-3x+5$ \vspace{3cm}
",question,1-2HW_Alg2_graphing-review.tex,39
9,1,"$3(a^2-2a +7) -2(a^2-3a-10)$ \vspace{5cm}
",question,1-2HW_Alg2_graphing-review.tex,42
10,1,"$(a +7)(3a-1)$ \vspace{3cm}


Solve for the value of $x$.
",question,1-2HW_Alg2_graphing-review.tex,58
11,1,"  $-9= \frac{3}{4}x$ \vspace{3cm}
",question,1-2HW_Alg2_graphing-review.tex,34
12,1,"  $\frac{2}{3}(3x-6)=-2x$ \vspace{3cm}

",question,1-2HW_Alg2_graphing-review.tex,40
13,1,"\newpage
What is the slope and $y$-intercept of each equation?
",newpage,1-2HW_Alg2_graphing-review.tex,63
14,1,"  \begin{multicols}{2}
",multicols,1-2HW_Alg2_graphing-review.tex,23
15,1,"  $y=-3.4x-1.8$
",question,1-2HW_Alg2_graphing-review.tex,16
16,1,"  $5x+2y=8$
",question,1-2HW_Alg2_graphing-review.tex,12
17,1,"  \end{multicols} \vspace{3cm}

Use pencil for graphs. Label each function with its name or equation.
",multicols,1-2HW_Alg2_graphing-review.tex,102
18,1,"Given the function $f(x)=\frac{2}{5}x-5$.
\begin{enumerate}
    \item Draw the function $f(x)$ on the graph below.
    \item Mark and label the point $P (3, 2)$ on the graph.
    \item A second line, $g(x)$, is perpendicular to $f(x)$ and passes through point $P$. Plot $g(x)$ on the graph.
    \item Challenge: what is the exact value of the $y$-intercept of $g(x)$?
\end{enumerate}

\begin{figure}[!ht]
    \centering
    \includegraphics[width=0.65\textwidth]{regents-grid.pdf}
\end{figure}

",question,1-2HW_Alg2_graphing-review.tex,495
19,1,"\newpage

",newpage,1-2HW_Alg2_graphing-review.tex,10
20,1,"Explain why the radical $\sqrt[3]{5^2}$ is equivalent to $25^{\frac{1}{3}}$, an expression with a rational exponent. \vspace{4cm}

",question,1-2HW_Alg2_graphing-review.tex,131
21,1,"Solve the system of equations by graphing. Select a point in the solution set and label it on the graph as ordered pair.
\[x+4y \geq -8\]
\[y < \frac{1}{2}x-4\]

\begin{figure}[!ht]
    \centering
    \includegraphics[width=0.65\textwidth]{regents-grid.pdf}
\end{figure}

",question,1-2HW_Alg2_graphing-review.tex,272
22,1,"\newpage
",newpage,1-2HW_Alg2_graphing-review.tex,9
23,1,"Graph the function $f(x)=x^2-x-12$ over the domain $-4 \leq x \leq 5$. Label the intercepts, axis of symmetry (with its equation), and the vertex as an coordinate pair.

    \begin{figure}[!ht]
        \centering
        \includegraphics[width=0.75\textwidth]{regents-grid.pdf}
  \end{figure}

Solve the system algebraically.
",question,1-2HW_Alg2_graphing-review.tex,326
24,1,"\item
$3x+4y=15$\\*
$3x+y=3$


",question,1-2HW_Alg2_graphing-review.tex,31
25,2,"For each of the following, round to the given precision:
  \begin{enumerate}
    \item Tenths, $85.44580 \approx$ \vspace{0.5cm}
    \item Hundredths, $219.4951280 \approx$ \vspace{0.5cm}
    \item Thousands, $412,725.4 \approx$ \vspace{0.5cm}
  \end{enumerate}
",question,1-4HW_Precision+exponents.tex,262
26,2,"Write down the number of significant figures of each value:
  \begin{enumerate}
    \item $3.14159$ \vspace{0.5cm}
    \item $5.40$ \vspace{0.5cm}
    \item $96,100$ \vspace{0.5cm}
  \end{enumerate}
",question,1-4HW_Precision+exponents.tex,199
27,2,"Round each value to three significant figures:
  \begin{enumerate}
    \item $289.457 \approx$ \vspace{0.75cm}
    \item $7.142856\ldots \approx$ \vspace{0.75cm}
    \item $21,060 \approx$ \vspace{0.75cm}
    \item $1.0095867 \approx$ \vspace{0.75cm}
    \item $\pi \approx$ \vspace{0.75cm}
    \item $e \approx$
  \end{enumerate}
  
",question,1-4HW_Precision+exponents.tex,334
28,2,"\newpage

Simplify

",newpage,1-4HW_Precision+exponents.tex,20
29,2,"$(x +5)(3x-2)$\\*[50pt]
",question,1-4HW_Precision+exponents.tex,24
30,2,"$(x -1)(x+2)(x-3)$\\*[50pt]

",question,1-4HW_Precision+exponents.tex,29
31,2,"$x^3 \times x^{-2}y^2$\\*[50pt]
",question,1-4HW_Precision+exponents.tex,32
32,2,"$x^3 \div x^{5}y$\\*[50pt]

",question,1-4HW_Precision+exponents.tex,28
33,2,"$\sqrt[3]{x^6y^3z^6}$\\*[50pt]

  The formula for simple interest is $P(t)=P_0(1+rt)$.
",question,1-4HW_Precision+exponents.tex,87
34,2,"  What is the value of \$200 in principal at a rate of 5\%  per annum after one-half year?\\
  ($P_0=200$, $r=0.05$, $t=0.5$) \vspace{2cm}
",question,1-4HW_Precision+exponents.tex,139
35,2,"  What is the value of \$220 in principal at a rate of 5.5\%  per annum after nine months?

",question,1-4HW_Precision+exponents.tex,92
36,3,"Solve the given triangle (determine the values of all lengths and angles)
  \begin{center}
    \begin{tikzpicture}[scale=1.2]
      \draw [-, thick] (41:4.5) node[above right]{$C$}--
        (0,0) node[left]{$A$}--
        (5,0) node[right]{$B$}--cycle;
      \node at (0.3, 0)[above right]{$41^\circ$};
      \node at (4.8, 0)[above left]{$58^\circ$};
      \node at (2.5, 0)[below]{$112$};
    \end{tikzpicture}
    \end{center} \vspace{1cm}

",question,1-16ENQuiz_trig.tex,445
37,3,"Find the slant height of a cone with a diameter of 32 centimeters and height of 12 cm. \vspace{1cm}
    
",question,1-16ENQuiz_trig.tex,105
