Topic,Difficulty,Calculator,Level,Text,Resource,Instructions
Modeling Exponential Functions,3,1,2,"$5\%$ interest per annum, \$10,000 principal, one year",,"Use the formula for simple interest: $i=Prt$ where $P$ is the principal amount of the loan or investment in dollars; $r$ is the interest rate, usually per year but also sometimes per month; $t$ is the amount of time, in units consistent with the rate; and $i$ is the amount of interest in dollars. (round to the nearest cent)"
Modeling Exponential Functions,3,1,2,"$7\%$ interest per annum, \$1,500 principal, six months",,"Use the formula for simple interest: $i=Prt$ where $P$ is the principal amount of the loan or investment in dollars; $r$ is the interest rate, usually per year but also sometimes per month; $t$ is the amount of time, in units consistent with the rate; and $i$ is the amount of interest in dollars. (round to the nearest cent)"
Modeling Exponential Functions,3,1,2,"The annual interest rate required to earn $\$200$ on \$50,000 principal in one month.",,"Use the formula for simple interest: $i=Prt$ where $P$ is the principal amount of the loan or investment in dollars; $r$ is the interest rate, usually per year but also sometimes per month; $t$ is the amount of time, in units consistent with the rate; and $i$ is the amount of interest in dollars. (round to the nearest cent)"
Radicals and Rational Exponents,3,0,2,$5x^{-3}y^2 \div 2x^3 y^{2}$,,Simplify each expression. Leaving no negative or fractional exponents.
Radicals and Rational Exponents,3,0,2,$\sqrt[5]{x^{-10} y^{2}}$,,Simplify each expression. Leaving no negative or fractional exponents.
Radicals and Rational Exponents,3,0,2,$\displaystyle \left( x y^{\frac{1}{2}}\right)^4$,,Simplify each expression. Leaving no negative or fractional exponents.
Evaluating Logarithmic Expressions,3,0,2,$\log_3 27$,,Simplify each expression. Leaving no negative or fractional exponents.
Evaluating Logarithmic Expressions,3,0,2,$\log 5 + \log 20$,,Simplify each expression. Leaving no negative or fractional exponents.
Evaluating Logarithmic Expressions,3,0,2,$\log_5 75 - \log_5 3$,,Simplify each expression. Leaving no negative or fractional exponents.
Operations with Polynomials,2,0,2,$(2x-7)(x^2-2x-3)$,,
Inverse of Functions,3,0,2,Let $f(x)=2x-1$. Find $f^{-1}(x)$.,,
Operations with Functions,3,0,2,Let $f(x)=2x-1$ and $g(x)=-x^2+x$. Find $(g \circ f)(1)$.,,
Using the Discriminant,5,0,3,"Consider the equation $2x^2 + (k+1)x=-18$, where $k$ is a real number. Find the values of $k$ for which the equation has two equal real solutions.",,
Graphing Quadratic Functions,4,1,2,"Let $f(x)=2x^2-5x-4$.
\begin{enumerate}
    \item Write down the coordinates of the vertex.
    \item Hence or otherwise, express the function in the form $f(x)=2(x-h)^2 +k$.
    \item Solve the equation  $f(x)=0$.
\end{enumerate}",,
Graphing Exponential Functions,4,2,3,"Given the exponential function $\displaystyle f(x)=1.5e^{(0.03x)}$.
\begin{enumerate}
    \item Write down $f(0)$.
    \item Find $f(2)$. %solution 1.59275482...
    \item Solve for $x$ such that $f(x)=5$. %solution 40.13242681
\end{enumerate}",,
